,Cell names,p_vals
395,perivascular_fibroblasts x vCM_4,0.4388582891367246
396,Adipo x Pericyte_2,0.5398394599751788
397,Pericyte_1 x Purkinje_fibers,0.42581614611750895
398,NK x Purkinje_fibers,0.3424665016129904
399,CCL18_Macrophages x Capillary_Endo,0.424918307799377
400,NK_T x Pericyte_2,0.3920273330725078
401,CD4 x LYVE_PLTP_Macrophages,0.35701070948506397
402,CCL18_Macrophages x Pericyte_1,0.44857217137743877
403,SPP1_Macrophages x vCM_3,0.41049769492937793
404,Pericyte_1 x Venous_Endo,0.4204017233585797
405,Fib_3 x LYVE_PLTP_Macrophages,0.3562773648522141
406,Pericyte_2 x prolif,0.3609894143441405
407,LYVE_PLTP_Macrophages x Monocytes,0.4228754368097493
408,Fib_3 x NK,0.3879975761998369
409,Fib_0 x Fib_SCARA5,0.3664657806160546
410,Endocardial_Endo x Monocytes,0.3684943338591852
411,Arterial_Endo x vCM_3,0.39562664258099295
412,Capillary_Endo x LYVE_PLTP_Macrophages,0.3762374371358233
413,Fib_SCARA5 x LYVE_PLTP_Macrophages,0.37319018606300625
414,CCL18_Macrophages x vCM_3,0.39234631480330395
415,intermediate_CM x perivascular_fibroblasts,0.4489888068947591
416,LYVE_FOLR_Macrophages x Purkinje_fibers,0.3832109590168586
417,Venous_Endo x vCM_4,0.42831457187447675
418,Purkinje_fibers x SPP1_Macrophages,0.3929549047223032
419,Purkinje_fibers x prolif,0.3937598805992796
420,Purkinje_fibers x vSMCs_2,0.39738314745680137
421,Pericyte_2 x vCM_4,0.39960393819219914
422,Fib_SCARA5 x Myofib,0.48537485945638337
423,CD8 x LYVE_FOLR_Macrophages,0.4165227374040935
424,NK x prolif,0.4059755940236922
425,Adipo x vCM_3,0.6994519447854461
426,LYVE_PLTP_Macrophages x Purkinje_fibers,0.4078029417025686
427,Lymphatic_Endo x Purkinje_fibers,0.41219681381731
428,intermediate_CM x vSMCs_2,0.4196893014646331
429,Pericyte_2 x perivascular_fibroblasts,0.4151653279894734
430,NK_T x vCM_4,0.4154435971320527
431,Adipo x Fib_3,0.8332902986425568
432,vSMCs_2 x vSMCs_2,0.47657927344671935
433,damaged_CM x vSMCs_1,0.42353450764217904
434,Endocardial_Endo x vCM_3,0.4966099705565728
435,Capillary_Endo x NK_T,0.42924483109893313
436,Lymphatic_Endo x vCM_4,0.6603370186940929
437,NK x Venous_Endo,0.5233368376673876
438,perivascular_fibroblasts x vCM_3,0.5158769066509814
439,Arterial_Endo x Purkinje_fibers,0.4623968335133155
440,vCM_4 x vSMCs_1,0.5302325876736906
441,healthy_CM x perivascular_fibroblasts,0.4976861036997242
442,LYVE_FOLR_Macrophages x vSMCs_2,0.476979035560688
443,CD8 x Capillary_Endo,0.46060614699134544
444,NK x NK_T,0.4885619865555677
445,NK_T x Pericyte_1,0.5660207067581675
446,Venous_Endo x intermediate_CM,0.49608869115179693
447,Venous_Endo x damaged_CM,0.5190467843436952
448,Neuronal x vCM_4,0.4949023092131594
449,Mast x NK,0.5478255669448883
450,damaged_CM x perivascular_fibroblasts,0.974320793240949
451,Fib_0 x LYVE_FOLR_Macrophages,0.4968444014641361
452,Capillary_Endo x Purkinje_fibers,0.7708986889986478
453,Fib_0 x NK,0.5111047391697525
454,CD4 x Capillary_Endo,0.5001007854913055
455,Mast x NK_T,0.5666480343941329
456,Mast x SPP1_Macrophages,0.6112192430028616
457,Fib_0 x Purkinje_fibers,0.5072360043675026
458,Lymphatic_Endo x vCM_3,0.6110346740816458
459,Endocardial_Endo x Pericyte_1,0.8253726499851315
460,SPP1_Macrophages x vCM_4,0.6242915232642137
461,Arterial_Endo x Pericyte_1,0.6152577706256692
462,Fib_SCARA5 x vSMCs_2,0.5195219416800616
463,vCM_4 x vCM_4,0.5200984342228827
464,Mast x Mast,0.5932364987136718
465,LYVE_PLTP_Macrophages x Neuronal,0.5220336074702844
466,CD4 x LYVE_FOLR_Macrophages,0.5280395842363548
